Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2013-10-01,2360,,2990,,,,,,,
2013-10-02,2360,,2990,,,,,,,
2013-10-03,2360,,2990,,,,,,,
2013-10-04,2360,,2990,,,,,,,
2013-10-05,2360,,2990,,,,,,,
2013-10-06,2360,,2990,,,,,,,
2013-10-07,2360,,2990,,,,,,,
2013-10-08,2360,,2990,,,,,,,
2013-10-09,2360,,2990,,,,,,,
2013-10-10,2360,,2990,,,,,,,
2013-10-11,2360,,2990,,,,,,,
2013-10-12,2360,,2990,,,,,,,
2013-10-13,2360,,2990,,,,,,,
2013-10-14,2360,,2990,,,,,,,
2013-10-15,2360,,2990,,,,,,,
2013-10-16,2360,,2990,,,,,,,
2013-10-17,2360,,2990,,,,,,,
2013-10-18,2360,,2990,,,,,,,
2013-10-19,2360,,2990,,,,,,,
2013-10-20,2360,,2990,,,,,,,
2013-10-21,2360,,2990,,,,,,,
2013-10-22,2360,,2990,,,,,,,
2013-10-23,2360,,2990,,,,,,,
2013-10-24,2360,,2990,,,,,,,
2013-10-25,2360,,2990,,,,,,,
2013-10-26,2360,,2990,,,,,,,
2013-10-27,2360,,2990,,,,,,,
2013-10-28,2360,,2990,,,,,,,
2013-10-29,2360,,2990,,,,,,,
2013-10-30,2360,,2990,,,,,,,
2013-10-31,2360,,2990,,,,,,,
2013-11-01,2360,,2990,,3660,2350,1700,,,
2013-11-02,2360,,2990,,3580,2360,1720,,,
2013-11-03,2360,,2990,,3520,2340,1730,,,
2013-11-04,2360,,2990,,3530,2350,1740,,,
2013-11-05,2360,,2990,,3590,2390,1760,,,
2013-11-06,2360,,2990,,3540,2360,1730,,,
2013-11-07,2360,,2990,,3550,2360,1730,,,
2013-11-08,2360,,2990,,3550,2360,1720,,,
2013-11-09,2360,,2990,,3520,2300,1720,,,
2013-11-10,2360,,2990,,3430,2260,1670,,,
2013-11-11,2360,,2990,,3400,2250,1640,,,
2013-11-12,2360,,2990,,3310,2240,1620,,,
2013-11-13,2360,,2990,,3320,2230,1600,,,
2013-11-14,2360,,2990,,3330,2200,1570,,,
2013-11-15,2360,,2990,,3310,2170,1550,,,
2013-11-16,2360,,2990,,3350,2210,1590,,,
2013-11-17,2360,,2990,,3400,2260,1610,,,
2013-11-18,2360,,2990,,3470,2310,1610,,,
2013-11-19,2360,,2990,,3470,2310,1590,,,
2013-11-20,2360,,2990,,3520,2350,1610,,,
2013-11-21,2360,,2990,,3540,2360,1630,,,
2013-11-22,2360,,2990,,3560,2380,1650,,,
2013-11-23,2360,,2990,,3590,2410,1670,,,
2013-11-24,2360,,2990,,,,,,,
2013-11-25,2360,,2990,,3610,2420,1660,,,
2013-11-26,2360,,2990,,3600,2420,1640,,,
2013-11-27,2360,,2990,,3610,2390,1600,,,
2013-11-28,2360,,2990,,3590,2370,1600,,,
2013-11-29,2360,,2990,,,,,,,
2013-11-30,2360,,2990,,3570,2340,1560,,,
2013-12-01,2360,,2990,,3480,2330,1560,,,
2013-12-02,2360,,2990,,3420,2340,1570,,,
2013-12-03,2360,,2990,,3430,2340,1550,,,
2013-12-04,2360,,2990,,3590,2470,1670,,,
2013-12-05,2360,,2990,,3660,2520,1710,,,
2013-12-06,2360,,2990,,3690,2560,1740,,,
2013-12-07,2360,,2990,,3690,2550,1740,,,
2013-12-08,2360,,2990,,3740,2580,1790,,,
2013-12-09,2360,,2990,,,,,,,
2013-12-10,2360,,2990,,3710,2500,1790,,,
2013-12-11,2360,,2990,,3680,2480,1770,,,
2013-12-12,2360,,2990,,3670,2470,1750,,,
2013-12-13,2360,,2990,,3620,2450,1750,,,
2013-12-14,2360,,2990,,,,,,,
2013-12-15,2360,,2990,,3520,2450,1720,,,
2013-12-16,2360,,2990,,3500,2440,1700,,,
2013-12-17,2360,,2990,,3490,2420,1690,,,
2013-12-18,2360,,2990,,3460,2400,1660,,,
2013-12-19,2360,,2990,,3410,2350,1630,,,
2013-12-20,2360,,2990,,3400,2310,1630,,,
2013-12-21,2360,,2990,,3420,2310,1650,,,
2013-12-22,2360,,2990,,3430,2290,1640,,,
2013-12-23,2360,,2990,,,,,,,
2013-12-24,2360,,2990,,,,,,,
2013-12-25,2360,,2990,,3430,2390,1720,,,
2013-12-26,2360,,2990,,3420,2380,1700,,,
2013-12-27,2360,,2990,,3420,2380,1670,,,
2013-12-28,2360,,2990,,3420,2380,1660,,,
2013-12-29,2360,,2990,,3410,2370,1650,,,
2013-12-30,2360,,2990,,3480,2400,1680,,,
2013-12-31,2360,,2990,,3450,2340,1670,,,
2014-01-01,2360,,2990,,3480,2390,1710,,,
2014-01-02,2360,,2990,,3500,2400,1700,,,
2014-01-03,2360,,2990,,3490,2370,1660,,,
2014-01-04,2360,,2990,,3500,2400,1670,,,
2014-01-05,2360,,2990,,3550,2410,1690,,,
2014-01-06,2360,,2990,,3550,2410,1690,,,
2014-01-07,2360,,2990,,3460,2370,1670,,,
2014-01-08,2360,,2990,,3440,2390,1690,,,
2014-01-09,2360,,2990,,3390,2350,1700,,,
2014-01-10,2360,,2990,,3440,2380,1740,,,
2014-01-11,2360,,2990,,3490,2440,1790,,,
2014-01-12,2360,,2990,,3470,2460,1810,,,
2014-01-13,2360,,2990,,3520,2450,1840,,,
2014-01-14,2360,,2990,,,,,,,
2014-01-15,2360,,2990,,,,,,,
2014-01-16,2360,,2990,,3470,2460,1870,,,
2014-01-17,2360,,2990,,3430,2460,1880,,,
2014-01-18,2360,,2990,,3390,2450,1870,,,
2014-01-19,2360,,2990,,3380,2450,1860,,,
2014-01-20,2360,,2990,,3330,2440,1850,,,
2014-01-21,2360,,2990,,3310,2440,1840,,,
2014-01-22,2360,,2990,,3290,2420,1840,,,
2014-01-23,2360,,2990,,,,,,,
2014-01-24,2360,,2990,,3240,2400,1820,,,
2014-01-25,2360,,2990,,3230,2390,1770,,,
2014-01-26,2360,,2990,,3220,2330,1740,,,
2014-01-27,2360,,2990,,3210,2290,1740,,,
2014-01-28,2360,,2990,,3230,2290,1740,,,
2014-01-29,2360,,2990,,3260,2280,1740,,,
2014-01-30,2360,,2990,,3380,2370,1820,,,
2014-01-31,2360,,2990,,3600,2550,1970,,,
2014-02-01,2360,,2990,,3650,2600,2010,,,
2014-02-02,2360,,2990,,3610,2590,2010,,,
2014-02-03,2360,,2990,,3600,2580,1990,,,
2014-02-04,2360,,2990,,3610,2570,1970,,,
2014-02-05,2360,,2990,,3610,2570,1960,,,
2014-02-06,2360,,2990,,,,,,,
2014-02-07,2360,,2990,,3620,2580,1960,,,
2014-02-08,2360,,2990,,3650,2650,2010,,,
2014-02-09,2360,,2990,,3740,2760,2120,,,
2014-02-10,2360,,2990,,3770,2840,2210,,,
2014-02-11,2360,,2990,,3750,2840,2230,,,
2014-02-12,2360,,2990,,3760,2840,2240,,,
2014-02-13,2360,,2990,,3780,2890,2290,,,
2014-02-14,2360,,2990,,3850,2940,2350,,,
2014-02-15,2360,,2990,,3880,2940,2340,,,
2014-02-16,2360,,2990,,3860,2930,2350,,,
2014-02-17,2360,,2990,,3820,2910,2340,,,
2014-02-18,2360,,2990,,3750,2880,2330,,,
2014-02-19,2360,,2990,,3700,2870,2320,,,
2014-02-20,2360,,2990,,3720,2860,2360,,,
2014-02-21,2360,,2990,,,,,,,
2014-02-22,2360,,2990,,3760,2830,2400,,,
2014-02-23,2360,,2990,,3770,2840,2420,,,
2014-02-24,2360,,2990,,3760,2830,2410,,,
2014-02-25,2360,,2990,,3750,2830,2400,,,
2014-02-26,2360,,2990,,3730,2840,2390,,,
2014-02-27,2360,,2990,,3710,2820,2350,,,
2014-02-28,2360,,2990,,3740,2830,2360,,,
2014-03-01,2360,,2990,,3800,2850,2390,,,
2014-03-02,2360,,2990,,3880,2920,2450,,,
2014-03-03,2360,,2990,,3870,2920,2430,,,
2014-03-04,2360,,2990,,3870,2930,2430,,,
2014-03-05,2360,,2990,,3880,2930,2430,,,
2014-03-06,2360,,2990,,3890,2920,2440,,,
2014-03-07,2360,,2990,,,,,,,
2014-03-08,2360,,2990,,,,,,,
2014-03-09,2360,,2990,,,,,,,
2014-03-10,2360,,2990,,3900,2900,2480,,,
2014-03-11,2360,,2990,,3870,2880,2440,,,
2014-03-12,2360,,2990,,3860,2840,2450,,,
2014-03-13,2360,,2990,,3850,2820,2440,,,
2014-03-14,2360,,2990,,3940,2910,2500,,,
2014-03-15,2360,,2990,,3830,2880,2500,,,
2014-03-16,2360,,2990,,3810,2870,2470,,,
2014-03-17,2360,,2990,,3750,2850,2460,,,
2014-03-18,2360,,2990,,3690,2850,2450,,,
2014-03-19,2360,,2990,,3640,2830,2440,,,
2014-03-20,2360,,2990,,3640,2790,2400,,,
2014-03-21,2360,,2990,,3640,2780,2380,,,
