Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP max,ESP 10,ESP 30,ESP 50,ESP 70,ESP 90,ESP min,ESP max (wo Obs),ESP 10 (wo Obs),ESP 30 (wo Obs),ESP 50 (wo Obs),ESP 70 (wo Obs),ESP 90 (wo Obs),ESP min (wo Obs)
2015-10-01,2360,,2290,,,,,,,,,,,,,,,
2015-10-02,2360,,2290,,,,,,,,,,,,,,,
2015-10-03,2360,,2290,,,,,,,,,,,,,,,
2015-10-04,2360,,2290,,,,,,,,,,,,,,,
2015-10-05,2360,,2290,,,,,,,,,,,,,,,
2015-10-06,2360,,2290,,,,,,,,,,,,,,,
2015-10-07,2360,,2290,,,,,,,,,,,,,,,
2015-10-08,2360,,2290,,,,,,,,,,,,,,,
2015-10-09,2360,,2290,,,,,,,,,,,,,,,
2015-10-10,2360,,2290,,,,,,,,,,,,,,,
2015-10-11,2360,,2290,,,,,,,,,,,,,,,
2015-10-12,2360,,2290,,,,,,,,,,,,,,,
2015-10-13,2360,,2290,,,,,,,,,,,,,,,
2015-10-14,2360,,2290,,,,,,,,,,,,,,,
2015-10-15,2360,,2290,,,,,,,,,,,,,,,
2015-10-16,2360,,2290,,,,,,,,,,,,,,,
2015-10-17,2360,,2290,,,,,,,,,,,,,,,
2015-10-18,2360,,2290,,,,,,,,,,,,,,,
2015-10-19,2360,,2290,,,,,,,,,,,,,,,
2015-10-20,2360,,2290,,,,,,,,,,,,,,,
2015-10-21,2360,,2290,,,,,,,,,,,,,,,
2015-10-22,2360,,2290,,,,,,,,,,,,,,,
2015-10-23,2360,,2290,,,,,,,,,,,,,,,
2015-10-24,2360,,2290,,,,,,,,,,,,,,,
2015-10-25,2360,,2290,,,,,,,,,,,,,,,
2015-10-26,2360,,2290,,,,,,,,,,,,,,,
2015-10-27,2360,,2290,,,,,,,,,,,,,,,
2015-10-28,2360,,2290,,,,,,,,,,,,,,,
2015-10-29,2360,,2290,,,,,,,,,,,,,,,
2015-10-30,2360,,2290,,,,,,,,,,,,,,,
2015-10-31,2360,,2290,,,,,,,,,,,,,,,
2015-11-01,2360,,2290,,,,,,,,,,,,,,,
2015-11-02,2360,,2290,,,,,,,,,,,,,,,
2015-11-03,2360,,2290,,,,,,,,,,,,,,,
2015-11-04,2360,,2290,,,,,,,,,,,,,,,
2015-11-05,2360,,2290,,,,,,,,,,,,,,,
2015-11-06,2360,,2290,,,,,,,,,,,,,,,
2015-11-07,2360,,2290,,,,,,,,,,,,,,,
2015-11-08,2360,,2290,,,,,,,,,,,,,,,
2015-11-09,2360,,2290,,,,,,,,,,,,,,,
2015-11-10,2360,,2290,,,,,,,,,,,,,,,
2015-11-11,2360,,2290,,,,,,,,,,,,,,,
2015-11-12,2360,,2290,,,,,,,,,,,,,,,
2015-11-13,2360,,2290,,,,,,,,,,,,,,,
2015-11-14,2360,,2290,,,,,,,,,,,,,,,
2015-11-15,2360,,2290,,3920,3150,2460,1990,1730,1370,1020,,,,,,,
2015-11-16,2360,,2290,,3930,3140,2470,2000,1740,1380,1030,,,,,,,
2015-11-17,2360,,2290,,4040,3250,2560,2090,1800,1430,1090,,,,,,,
2015-11-18,2360,,2290,,3990,3260,2550,2100,1790,1390,1100,,,,,,,
2015-11-19,2360,,2290,,3930,3290,2530,2130,1810,1400,1100,,,,,,,
2015-11-20,2360,,2290,,3930,3320,2540,2150,1830,1410,1110,,,,,,,
2015-11-21,2360,,2290,,3850,3330,2540,2150,1820,1420,1120,,,,,,,
2015-11-22,2360,,2290,,3780,3320,2530,2130,1820,1410,1110,,,,,,,
2015-11-23,2360,,2290,,3760,3310,2510,2130,1810,1410,1050,,,,,,,
2015-11-24,2360,,2290,,3750,3310,2500,2130,1810,1400,1040,,,,,,,
2015-11-25,2360,,2290,,3710,3300,2490,2130,1800,1380,1020,,,,,,,
2015-11-26,2360,,2290,,3710,3310,2480,2150,1800,1370,975,,,,,,,
2015-11-27,2360,,2290,,3680,3310,2470,2120,1740,1350,960,,,,,,,
2015-11-28,2360,,2290,,3680,3320,2470,2110,1750,1360,970,,,,,,,
2015-11-29,2360,,2290,,3660,3330,2470,2100,1740,1360,970,,,,,,,
2015-11-30,2360,,2290,,3650,3330,2450,2100,1730,1350,961,,,,,,,
2015-12-01,2360,,2290,,3640,3250,2440,2090,1740,1350,956,,,,,,,
2015-12-02,2360,,2290,,3640,3160,2420,2090,1740,1350,934,,,,,,,
2015-12-03,2360,,2290,,3720,3240,2490,2150,1800,1380,961,,,,,,,
2015-12-04,2360,,2290,,3700,3210,2460,2130,1770,1370,948,,,,,,,
2015-12-05,2360,,2290,,3700,3220,2470,2130,1770,1380,932,,,,,,,
2015-12-06,2360,,2290,,3670,3190,2470,2120,1750,1370,925,,,,,,,
2015-12-07,2360,,2290,,3600,3180,2470,2120,1750,1370,910,,,,,,,
2015-12-08,2360,,2290,,3570,3190,2480,2100,1740,1370,899,,,,,,,
2015-12-09,2360,,2290,,3550,3160,2470,2050,1710,1350,889,,,,,,,
2015-12-10,2360,,2290,,3540,3140,2460,2010,1690,1350,882,,,,,,,
2015-12-11,2360,,2290,,3530,3120,2450,2000,1670,1340,877,,,,,,,
2015-12-12,2360,,2290,,3600,3180,2510,2050,1720,1380,913,,,,,,,
2015-12-13,2360,,2290,,3630,3180,2540,2070,1740,1400,933,,,,,,,
2015-12-14,2360,,2290,,3600,3120,2520,2040,1720,1370,917,,,,,,,
2015-12-15,2360,,2290,,3620,3090,2540,2070,1730,1380,936,,,,,,,
2015-12-16,2360,,2290,,3660,3120,2450,2100,1730,1380,956,,,,,,,
2015-12-17,2360,,2290,,3650,3120,2430,2100,1730,1390,957,,,,,,,
2015-12-18,2360,,2290,,3680,3130,2430,2120,1710,1390,960,,,,,,,
2015-12-19,2360,,2290,,3680,3130,2410,2100,1700,1390,960,,,,,,,
2015-12-20,2360,,2290,,3680,3120,2400,2060,1660,1380,955,,,,,,,
2015-12-21,2360,,2290,,3710,3150,2400,2070,1680,1410,971,,,,,,,
2015-12-22,2360,,2290,,3780,3210,2400,2100,1720,1440,996,,,,,,,
2015-12-23,2360,,2290,,3880,3290,2450,2180,1780,1500,1050,,,,,,,
2015-12-24,2360,,2290,,3910,3250,2470,2190,1790,1520,1070,,,,,,,
2015-12-25,2360,,2290,,3940,3250,2500,2210,1810,1540,1090,,,,,,,
2015-12-26,2360,,2290,,3980,3280,2520,2240,1830,1550,1100,,,,,,,
2015-12-27,2360,,2290,,3980,3280,2500,2240,1830,1520,1100,,,,,,,
2015-12-28,2360,,2290,,3980,3270,2500,2240,1830,1510,1100,,,,,,,
2015-12-29,2360,,2290,,3980,3270,2480,2230,1830,1500,1080,,,,,,,
2015-12-30,2360,,2290,,3980,3270,2480,2210,1820,1490,1080,,,,,,,
2015-12-31,2360,,2290,,4070,3360,2570,2250,1890,1570,1140,,,,,,,
2016-01-01,2360,,2290,,4060,3340,2530,2250,1890,1570,1130,,,,,,,
2016-01-02,2360,,2290,,4060,3330,2510,2240,1880,1540,1130,,,,,,,
2016-01-03,2360,,2290,,4050,3320,2490,2220,1880,1510,1130,,,,,,,
2016-01-04,2360,,2290,,4050,3300,2460,2210,1870,1500,1120,,,,,,,
2016-01-05,2360,,2290,,4020,3290,2440,2180,1860,1490,1110,,,,,,,
2016-01-06,2360,,2290,,3980,3270,2430,2150,1830,1460,1100,,,,,,,
2016-01-07,2360,,2290,,3950,3210,2440,2150,1830,1460,1090,,,,,,,
2016-01-08,2360,,2290,,3910,3160,2450,2150,1830,1460,1100,,,,,,,
2016-01-09,2360,,2290,,3910,3110,2460,2100,1830,1470,1100,,,,,,,
2016-01-10,2360,,2290,,3890,3090,2390,2080,1800,1460,1080,,,,,,,
2016-01-11,2360,,2290,,3880,3070,2360,2060,1790,1450,1080,,,,,,,
2016-01-12,2360,,2290,,3840,3020,2350,2060,1770,1450,1070,,,,,,,
2016-01-13,2360,,2290,,3830,3010,2350,2000,1740,1440,1070,,,,,,,
2016-01-14,2360,,2290,,3800,2960,2340,1990,1740,1440,1060,,,,,,,
2016-01-15,2360,,2290,,3800,2950,2350,2000,1730,1450,1070,,,,,,,
2016-01-16,2360,,2290,,3820,2980,2380,2030,1740,1480,1090,,,,,,,
2016-01-17,2360,,2290,,3860,3020,2420,2090,1790,1530,1120,,,,,,,
2016-01-18,2360,,2290,,3880,3010,2410,2110,1800,1550,1140,,,,,,,
2016-01-19,2360,,2290,,3890,3040,2390,2130,1810,1570,1150,,,,,,,
2016-01-20,2360,,2290,,3940,3040,2410,2170,1840,1600,1170,,,,,,,
2016-01-21,2360,,2290,,4010,3090,2430,2230,1890,1640,1210,,,,,,,
2016-01-22,2360,,2290,,3980,3040,2400,2190,1860,1620,1190,,,,,,,
2016-01-23,2360,,2290,,3990,3010,2390,2190,1860,1620,1170,,,,,,,
2016-01-24,2360,,2290,,3990,3000,2350,2170,1840,1600,1160,,,,,,,
2016-01-25,2360,,2290,,3990,3020,2300,2190,1850,1580,1170,,,,,,,
2016-01-26,2360,,2290,,3990,3010,2270,2120,1830,1550,1160,,,,,,,
2016-01-27,2360,,2290,,3940,3010,2260,2080,1830,1550,1150,,,,,,,
2016-01-28,2360,,2290,,3930,3010,2260,2080,1830,1540,1160,,,,,,,
2016-01-29,2360,,2290,,3950,3040,2270,2070,1860,1530,1180,,,,,,,
2016-01-30,2360,,2290,,3980,3070,2280,2080,1860,1540,1190,,,,,,,
2016-01-31,2360,,2290,,4080,3180,2360,2160,1950,1610,1260,,,,,,,
2016-02-01,2360,,2290,,4170,3280,2460,2250,2040,1690,1330,,,,,,,
2016-02-02,2360,,2290,,4290,3360,2560,2350,2140,1780,1410,,,,,,,
2016-02-03,2360,,2290,,4250,3300,2520,2300,2100,1720,1380,,,,,,,
2016-02-04,2360,,2290,,4230,3280,2490,2260,2040,1680,1370,,,,,,,
2016-02-05,2360,,2290,,4250,3300,2500,2280,2050,1680,1390,,,,,,,
2016-02-06,2360,,2290,,4240,3290,2490,2270,2040,1670,1390,,,,,,,
2016-02-07,2360,,2290,,4260,3300,2490,2280,2050,1680,1400,,,,,,,
2016-02-08,2360,,2290,,4250,3240,2480,2260,2000,1660,1390,,,,,,,
2016-02-09,2360,,2290,,4190,3190,2470,2250,1930,1650,1370,,,,,,,
2016-02-10,2360,,2290,,4170,3120,2450,2240,1920,1650,1360,,,,,,,
2016-02-11,2360,,2290,,4080,3080,2390,2210,1920,1650,1340,,,,,,,
2016-02-12,2360,,2290,,3930,3070,2360,2210,1900,1650,1340,,,,,,,
2016-02-13,2360,,2290,,3770,3030,2340,2210,1880,1640,1340,,,,,,,
2016-02-14,2360,,2290,,3720,3040,2350,2180,1870,1640,1340,,,,,,,
2016-02-15,2360,,2290,,3600,3070,2380,2190,1900,1650,1360,,,,,,,
2016-02-16,2360,,2290,,3630,3070,2380,2190,1920,1670,1370,,,,,,,
2016-02-17,2360,,2290,,3600,3010,2380,2160,1880,1660,1360,,,,,,,
2016-02-18,2360,,2290,,3610,2970,2370,2160,1890,1660,1350,,,,,,,
2016-02-19,2360,,2290,,3640,2970,2360,2160,1920,1680,1370,,,,,,,
2016-02-20,2360,,2290,,3630,2930,2350,2120,1920,1680,1360,,,,,,,
2016-02-21,2360,,2290,,3620,2920,2280,2100,1900,1670,1300,,,,,,,
2016-02-22,2360,,2290,,3620,2910,2270,2050,1900,1660,1300,,,,,,,
2016-02-23,2360,,2290,,3650,2920,2280,2050,1900,1680,1300,,,,,,,
2016-02-24,2360,,2290,,3650,2910,2260,2050,1890,1670,1290,,,,,,,
2016-02-25,2360,,2290,,3640,2890,2230,2040,1880,1660,1280,,,,,,,
2016-02-26,2360,,2290,,3620,2850,2210,2020,1860,1640,1270,,,,,,,
2016-02-27,2360,,2290,,3610,2830,2200,2010,1850,1610,1260,,,,,,,
2016-02-28,2360,,2290,,3560,2820,2190,1980,1830,1580,1250,,,,,,,
2016-02-29,2360,,2290,,3520,2810,2170,1960,1830,1570,1230,,,,,,,
2016-03-01,2360,,2290,,3490,2810,2160,1960,1830,1570,1230,,,,,,,
2016-03-02,2360,,2290,,3490,2820,2160,1950,1830,1580,1230,,,,,,,
2016-03-03,2360,,2290,,3400,2820,2160,1950,1820,1570,1230,,,,,,,
2016-03-04,2360,,2290,,3390,2810,2150,1950,1770,1520,1230,,,,,,,
2016-03-05,2360,,2290,,3320,2800,2140,1940,1740,1520,1200,,,,,,,
2016-03-06,2360,,2290,,3190,2780,2100,1910,1720,1510,1180,,,,,,,
2016-03-07,2360,,2290,,3190,2810,2120,1930,1710,1530,1190,,,,,,,
2016-03-08,2360,,2290,,3230,2840,2140,1950,1730,1550,1200,,,,,,,
2016-03-09,2360,,2290,,3220,2840,2120,1930,1720,1540,1150,,,,,,,
2016-03-10,2360,,2290,,3230,2830,2120,1910,1720,1550,1130,,,,,,,
2016-03-11,2360,,2290,,3220,2810,2110,1890,1710,1550,1120,,,,,,,
2016-03-12,2360,,2290,,3200,2780,2110,1850,1680,1530,1110,,,,,,,
2016-03-13,2360,,2290,,3190,2800,2110,1860,1700,1550,1120,,,,,,,
2016-03-14,2360,,2290,,3160,2770,2100,1840,1690,1520,1100,,,,,,,
2016-03-15,2360,,2290,,3210,2720,2140,1850,1730,1550,1120,,,,,,,
2016-03-16,2360,,2290,,3270,2760,2200,1910,1780,1580,1160,,,,,,,
2016-03-17,2360,,2290,,3320,2760,2230,1930,1830,1610,1190,,,,,,,
2016-03-18,2360,,2290,,3370,2740,2260,1950,1830,1630,1210,,,,,,,
2016-03-19,2360,,2290,,3360,2690,2240,1930,1810,1610,1210,,,,,,,
2016-03-20,2360,,2290,,3300,2680,2230,1890,1810,1570,1200,,,,,,,
2016-03-21,2360,,2290,,3280,2670,2220,1890,1780,1560,1190,,,,,,,
2016-03-22,2360,,2290,,3270,2650,2190,1860,1770,1530,1180,,,,,,,
2016-03-23,2360,,2290,,3300,2670,2240,1910,1810,1570,1210,,,,,,,
2016-03-24,2360,,2290,,3380,2740,2270,1970,1860,1620,1270,,,,,,,
2016-03-25,2360,,2290,,3420,2770,2280,2000,1870,1650,1300,,,,,,,
2016-03-26,2360,,2290,,3410,2770,2270,2030,1880,1670,1320,,,,,,,
2016-03-27,2360,,2290,,3400,2760,2240,2030,1870,1680,1310,,,,,,,
2016-03-28,2360,,2290,,3380,2730,2210,2020,1840,1670,1310,,,,,,,
2016-03-29,2360,,2290,,3380,2740,2190,2010,1830,1660,1320,,,,,,,
2016-03-30,2360,,2290,,3440,2800,2240,2060,1890,1690,1390,,,,,,,
2016-03-31,2360,,2290,,3460,2800,2230,2070,1890,1710,1420,,,,,,,
2016-04-01,2360,,2290,6.83,3460,2800,2220,2070,1890,1710,1420,,,,,,,
2016-04-02,2360,3.15,2290,13.7,3450,2760,2190,2060,1880,1710,1430,,,,,,,
2016-04-03,2360,6.25,2290,20.5,3440,2710,2160,2010,1850,1640,1420,,,,,,,
2016-04-04,2360,9.31,2290,27.3,3440,2690,2120,2010,1840,1610,1420,,,,,,,
2016-04-05,2360,12.3,2290,34.2,3440,2690,2100,1990,1830,1610,1430,,,,,,,
2016-04-06,2360,15.7,2290,41,3460,2720,2120,2000,1840,1630,1450,,,,,,,
2016-04-07,2360,19.1,2290,47.8,3440,2700,2090,1960,1800,1580,1440,,,,,,,
2016-04-08,2360,22.8,2290,54.7,3450,2690,2060,1920,1780,1530,1440,,,,,,,
2016-04-09,2360,26.8,2290,61.5,3420,2680,2040,1910,1770,1530,1440,,,,,,,
2016-04-10,2360,31.1,2290,68.3,3410,2660,2060,1930,1800,1550,1470,,,,,,,
2016-04-11,2360,36.2,2290,75.2,3400,2610,2070,1940,1810,1570,1450,,,,,,,
2016-04-12,2360,42,2290,82,3320,2530,2040,1890,1760,1530,1420,,,,,,,
2016-04-13,2360,48.1,2290,88.8,3320,2520,2010,1890,1750,1540,1420,,,,,,,
2016-04-14,2360,54.6,2290,95.7,3330,2520,2020,1890,1730,1540,1410,,,,,,,
2016-04-15,2360,61.5,2290,103,3330,2520,2020,1880,1730,1530,1410,,,,,,,
2016-04-16,2360,68.8,2290,109,3480,2690,2160,2020,1830,1630,1540,,,,,,,
2016-04-17,2360,77.7,2290,116,3510,2750,2230,2050,1900,1700,1600,,,,,,,
2016-04-18,2360,86,2290,123,3430,2770,2280,2010,1930,1740,1630,,,,,,,
2016-04-19,2360,93.2,2290,130,3430,2800,2300,2030,1920,1770,1670,,,,,,,
2016-04-20,2360,99.6,2290,137,3400,2760,2290,2040,1930,1790,1680,,,,,,,
2016-04-21,2360,105,2290,144,3310,2690,2250,2010,1910,1760,1650,,,,,,,
