Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2013-10-01,245,,178,,,,,,,
2013-10-02,245,,178,,,,,,,
2013-10-03,245,,178,,,,,,,
2013-10-04,245,,178,,,,,,,
2013-10-05,245,,178,,,,,,,
2013-10-06,245,,178,,,,,,,
2013-10-07,245,,178,,,,,,,
2013-10-08,245,,178,,,,,,,
2013-10-09,245,,178,,,,,,,
2013-10-10,245,,178,,,,,,,
2013-10-11,245,,178,,,,,,,
2013-10-12,245,,178,,,,,,,
2013-10-13,245,,178,,,,,,,
2013-10-14,245,,178,,,,,,,
2013-10-15,245,,178,,,,,,,
2013-10-16,245,,178,,,,,,,
2013-10-17,245,,178,,,,,,,
2013-10-18,245,,178,,,,,,,
2013-10-19,245,,178,,,,,,,
2013-10-20,245,,178,,,,,,,
2013-10-21,245,,178,,,,,,,
2013-10-22,245,,178,,,,,,,
2013-10-23,245,,178,,,,,,,
2013-10-24,245,,178,,,,,,,
2013-10-25,245,,178,,,,,,,
2013-10-26,245,,178,,,,,,,
2013-10-27,245,,178,,,,,,,
2013-10-28,245,,178,,,,,,,
2013-10-29,245,,178,,,,,,,
2013-10-30,245,,178,,,,,,,
2013-10-31,245,,178,,,,,,,
2013-11-01,245,,178,,456,266,182,,,
2013-11-02,245,,178,,451,263,182,,,
2013-11-03,245,,178,,440,258,179,,,
2013-11-04,245,,178,,439,258,178,,,
2013-11-05,245,,178,,446,262,187,,,
2013-11-06,245,,178,,435,256,184,,,
2013-11-07,245,,178,,436,255,183,,,
2013-11-08,245,,178,,440,256,181,,,
2013-11-09,245,,178,,429,256,178,,,
2013-11-10,245,,178,,426,255,178,,,
2013-11-11,245,,178,,424,253,178,,,
2013-11-12,245,,178,,419,252,179,,,
2013-11-13,245,,178,,403,251,174,,,
2013-11-14,245,,178,,403,245,171,,,
2013-11-15,245,,178,,400,237,168,,,
2013-11-16,245,,178,,416,243,182,,,
2013-11-17,245,,178,,414,241,181,,,
2013-11-18,245,,178,,419,249,188,,,
2013-11-19,245,,178,,414,248,188,,,
2013-11-20,245,,178,,405,247,188,,,
2013-11-21,245,,178,,410,255,194,,,
2013-11-22,245,,178,,420,263,203,,,
2013-11-23,245,,178,,423,271,209,,,
2013-11-24,245,,178,,,,,,,
2013-11-25,245,,178,,437,280,203,,,
2013-11-26,245,,178,,432,279,200,,,
2013-11-27,245,,178,,431,280,200,,,
2013-11-28,245,,178,,433,280,199,,,
2013-11-29,245,,178,,,,,,,
2013-11-30,245,,178,,425,280,200,,,
2013-12-01,245,,178,,422,280,201,,,
2013-12-02,245,,178,,420,279,201,,,
2013-12-03,245,,178,,414,279,201,,,
2013-12-04,245,,178,,425,298,218,,,
2013-12-05,245,,178,,455,330,249,,,
2013-12-06,245,,178,,436,309,225,,,
2013-12-07,245,,178,,434,306,221,,,
2013-12-08,245,,178,,449,314,237,,,
2013-12-09,245,,178,,,,,,,
2013-12-10,245,,178,,467,326,260,,,
2013-12-11,245,,178,,465,324,259,,,
2013-12-12,245,,178,,457,317,251,,,
2013-12-13,245,,178,,454,314,246,,,
2013-12-14,245,,178,,,,,,,
2013-12-15,245,,178,,455,320,253,,,
2013-12-16,245,,178,,449,316,248,,,
2013-12-17,245,,178,,445,315,247,,,
2013-12-18,245,,178,,442,312,245,,,
2013-12-19,245,,178,,423,295,230,,,
2013-12-20,245,,178,,421,294,229,,,
2013-12-21,245,,178,,423,298,233,,,
2013-12-22,245,,178,,415,290,222,,,
2013-12-23,245,,178,,,,,,,
2013-12-24,245,,178,,,,,,,
2013-12-25,245,,178,,,,,,,
2013-12-26,245,,178,,428,318,232,,,
2013-12-27,245,,178,,428,318,221,,,
2013-12-28,245,,178,,,,,,,
2013-12-29,245,,178,,,,,,,
2013-12-30,245,,178,,402,291,199,,,
2013-12-31,245,,178,,400,283,200,,,
2014-01-01,245,,178,,398,284,198,,,
2014-01-02,245,,178,,398,284,197,,,
2014-01-03,245,,178,,397,282,195,,,
2014-01-04,245,,178,,397,282,196,,,
2014-01-05,245,,178,,396,282,197,,,
2014-01-06,245,,178,,394,277,196,,,
2014-01-07,245,,178,,393,269,194,,,
2014-01-08,245,,178,,390,261,192,,,
2014-01-09,245,,178,,389,253,191,,,
2014-01-10,245,,178,,391,255,193,,,
2014-01-11,245,,178,,384,257,195,,,
2014-01-12,245,,178,,382,253,194,,,
2014-01-13,245,,178,,381,252,194,,,
2014-01-14,245,,178,,,,,,,
2014-01-15,245,,178,,,,,,,
2014-01-16,245,,178,,368,244,191,,,
2014-01-17,245,,178,,361,243,183,,,
2014-01-18,245,,178,,355,242,172,,,
2014-01-19,245,,178,,335,241,171,,,
2014-01-20,245,,178,,328,239,171,,,
2014-01-21,245,,178,,328,239,168,,,
2014-01-22,245,,178,,328,238,167,,,
2014-01-23,245,,178,,,,,,,
