year,vol
1896,126.5
1897,347.4
1898,259.4
1899,116.7
1900,151.3
1901,268.8
1902,106.1
1903,320.2
1911,358.0
1912,326.4
1922,438.7
1923,418.5
1924,300.4
1925,236.9
1926,472.4
1927,372.7
1928,260.0
1929,302.5
1930,238.2
1931,100.2
1932,398.2
1933,179.9
1934,72.8
1935,265.1
1936,237.6
1937,329.5
1938,378.2
1939,146.8
1940,180.5
1941,448.1
1942,415.0
1943,275.2
1944,396.7
1945,281.4
1946,173.0
1947,252.2
1948,326.0
1949,333.9
1950,192.1
1951,111.9
1952,449.9
1953,156.8
1954,119.7
1955,154.4
1956,161.8
1957,428.2
1958,361.6
1959,85.4
1960,246.8
1961,186.4
1962,256.3
1963,126.5
1964,152.6
1965,335.8
1966,206.2
1967,123.5
1968,234.7
1969,261.2
1970,205.8
1971,191.8
1972,126.9
1973,422.8
1974,128.1
1975,358.6
1976,193.0
1977,38.0
1978,285.6
1979,380.5
1980,396.9
1981,118.5
1982,287.8
1983,430.1
1984,390.6
1985,384.0
1986,354.8
1987,352.9
1988,171.1
1989,168.0
1990,113.4
1991,201.7
1992,241.5
1993,405.2
1994,193.6
1995,381.4
1996,144.6
1997,376.5
1998,258.9
1999,264.7
2000,183.2
2001,192.9
2002,47.0
2003,139.5
2004,185.3
2005,332.8
2006,141.1
2007,190.8
2008,308.3
2009,230.2
2010,208.9
2011,220.6
2012,115.1
2013,82.1
2014,177.8
2015,228.6
2016,226.0
2017,314.1
