Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2013-10-01,565,,322,,,,,,,
2013-10-02,565,,322,,,,,,,
2013-10-03,565,,322,,,,,,,
2013-10-04,565,,322,,,,,,,
2013-10-05,565,,322,,,,,,,
2013-10-06,565,,322,,,,,,,
2013-10-07,565,,322,,,,,,,
2013-10-08,565,,322,,,,,,,
2013-10-09,565,,322,,,,,,,
2013-10-10,565,,322,,,,,,,
2013-10-11,565,,322,,,,,,,
2013-10-12,565,,322,,,,,,,
2013-10-13,565,,322,,,,,,,
2013-10-14,565,,322,,,,,,,
2013-10-15,565,,322,,,,,,,
2013-10-16,565,,322,,,,,,,
2013-10-17,565,,322,,,,,,,
2013-10-18,565,,322,,,,,,,
2013-10-19,565,,322,,,,,,,
2013-10-20,565,,322,,,,,,,
2013-10-21,565,,322,,,,,,,
2013-10-22,565,,322,,,,,,,
2013-10-23,565,,322,,,,,,,
2013-10-24,565,,322,,,,,,,
2013-10-25,565,,322,,,,,,,
2013-10-26,565,,322,,,,,,,
2013-10-27,565,,322,,,,,,,
2013-10-28,565,,322,,,,,,,
2013-10-29,565,,322,,,,,,,
2013-10-30,565,,322,,,,,,,
2013-10-31,565,,322,,,,,,,
2013-11-01,565,,322,,1190,597,374,,,
2013-11-02,565,,322,,1180,588,374,,,
2013-11-03,565,,322,,1140,567,373,,,
2013-11-04,565,,322,,1140,564,372,,,
2013-11-05,565,,322,,1150,576,380,,,
2013-11-06,565,,322,,1130,561,375,,,
2013-11-07,565,,322,,1140,556,374,,,
2013-11-08,565,,322,,1140,553,374,,,
2013-11-09,565,,322,,1130,544,365,,,
2013-11-10,565,,322,,1120,544,358,,,
2013-11-11,565,,322,,1090,544,358,,,
2013-11-12,565,,322,,1080,544,359,,,
2013-11-13,565,,322,,1070,543,350,,,
2013-11-14,565,,322,,1070,544,342,,,
2013-11-15,565,,322,,1060,542,334,,,
2013-11-16,565,,322,,1090,543,351,,,
2013-11-17,565,,322,,1100,546,351,,,
2013-11-18,565,,322,,1110,557,356,,,
2013-11-19,565,,322,,1100,558,355,,,
2013-11-20,565,,322,,1070,560,357,,,
2013-11-21,565,,322,,1090,573,370,,,
2013-11-22,565,,322,,1120,602,391,,,
2013-11-23,565,,322,,1140,623,407,,,
2013-11-24,565,,322,,,,,,,
2013-11-25,565,,322,,1150,647,401,,,
2013-11-26,565,,322,,1160,652,402,,,
2013-11-27,565,,322,,1170,633,407,,,
2013-11-28,565,,322,,1170,631,408,,,
2013-11-29,565,,322,,,,,,,
2013-11-30,565,,322,,1140,618,410,,,
2013-12-01,565,,322,,1090,613,411,,,
2013-12-02,565,,322,,1070,613,410,,,
2013-12-03,565,,322,,1060,612,410,,,
2013-12-04,565,,322,,1100,651,448,,,
2013-12-05,565,,322,,1180,713,510,,,
2013-12-06,565,,322,,1160,687,465,,,
2013-12-07,565,,322,,1160,686,465,,,
2013-12-08,565,,322,,1210,727,500,,,
2013-12-09,565,,322,,,,,,,
2013-12-10,565,,322,,1200,716,519,,,
2013-12-11,565,,322,,1180,708,516,,,
2013-12-12,565,,322,,1130,699,510,,,
2013-12-13,565,,322,,1120,682,507,,,
2013-12-14,565,,322,,,,,,,
2013-12-15,565,,322,,1110,691,519,,,
2013-12-16,565,,322,,1090,682,513,,,
2013-12-17,565,,322,,1070,676,510,,,
2013-12-18,565,,322,,1050,666,491,,,
2013-12-19,565,,322,,997,625,451,,,
2013-12-20,565,,322,,1000,630,451,,,
2013-12-21,565,,322,,1020,635,459,,,
2013-12-22,565,,322,,997,618,446,,,
2013-12-23,565,,322,,,,,,,
2013-12-24,565,,322,,,,,,,
2013-12-25,565,,322,,,,,,,
2013-12-26,565,,322,,1060,674,470,,,
2013-12-27,565,,322,,1050,673,444,,,
2013-12-28,565,,322,,,,,,,
2013-12-29,565,,322,,,,,,,
