Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP max,ESP 10,ESP 30,ESP 50,ESP 70,ESP 90,ESP min,ESP max (wo Obs),ESP 10 (wo Obs),ESP 30 (wo Obs),ESP 50 (wo Obs),ESP 70 (wo Obs),ESP 90 (wo Obs),ESP min (wo Obs)
2014-10-01,565,,393,,,,,,,,,,,,,,,
2014-10-02,565,,393,,,,,,,,,,,,,,,
2014-10-03,565,,393,,,,,,,,,,,,,,,
2014-10-04,565,,393,,,,,,,,,,,,,,,
2014-10-05,565,,393,,,,,,,,,,,,,,,
2014-10-06,565,,393,,,,,,,,,,,,,,,
2014-10-07,565,,393,,,,,,,,,,,,,,,
2014-10-08,565,,393,,,,,,,,,,,,,,,
2014-10-09,565,,393,,,,,,,,,,,,,,,
2014-10-10,565,,393,,,,,,,,,,,,,,,
2014-10-11,565,,393,,,,,,,,,,,,,,,
2014-10-12,565,,393,,,,,,,,,,,,,,,
2014-10-13,565,,393,,,,,,,,,,,,,,,
2014-10-14,565,,393,,,,,,,,,,,,,,,
2014-10-15,565,,393,,,,,,,,,,,,,,,
2014-10-16,565,,393,,,,,,,,,,,,,,,
2014-10-17,565,,393,,,,,,,,,,,,,,,
2014-10-18,565,,393,,,,,,,,,,,,,,,
2014-10-19,565,,393,,,,,,,,,,,,,,,
2014-10-20,565,,393,,,,,,,,,,,,,,,
2014-10-21,565,,393,,,,,,,,,,,,,,,
2014-10-22,565,,393,,,,,,,,,,,,,,,
2014-10-23,565,,393,,,,,,,,,,,,,,,
2014-10-24,565,,393,,,,,,,,,,,,,,,
2014-10-25,565,,393,,,,,,,,,,,,,,,
2014-10-26,565,,393,,,,,,,,,,,,,,,
2014-10-27,565,,393,,,,,,,,,,,,,,,
2014-10-28,565,,393,,,,,,,,,,,,,,,
2014-10-29,565,,393,,,,,,,,,,,,,,,
2014-10-30,565,,393,,,,,,,,,,,,,,,
2014-10-31,565,,393,,,,,,,,,,,,,,,
2014-11-01,565,,393,,,,,,,,,,,,,,,
2014-11-02,565,,393,,,,,,,,,,,,,,,
2014-11-03,565,,393,,,,,,,,,,,,,,,
2014-11-04,565,,393,,,,,,,,,,,,,,,
2014-11-05,565,,393,,,,,,,,,,,,,,,
2014-11-06,565,,393,,,,,,,,,,,,,,,
2014-11-07,565,,393,,,,,,,,,,,,,,,
2014-11-08,565,,393,,,,,,,,,,,,,,,
2014-11-09,565,,393,,,,,,,,,,,,,,,
2014-11-10,565,,393,,,,,,,,,,,,,,,
2014-11-11,565,,393,,,,,,,,,,,,,,,
2014-11-12,565,,393,,,,,,,,,,,,,,,
2014-11-13,565,,393,,,,,,,,,,,,,,,
2014-11-14,565,,393,,,,,,,,,,,,,,,
2014-11-15,565,,393,,0,1020,661,503,389,314,0,,,,,,,
2014-11-16,565,,393,,0,1050,685,504,407,331,0,,,,,,,
2014-11-17,565,,393,,0,1060,698,510,409,331,0,,,,,,,
2014-11-18,565,,393,,0,1050,675,507,409,326,0,,,,,,,
2014-11-19,565,,393,,0,1030,665,504,404,324,0,,,,,,,
2014-11-20,565,,393,,0,990,656,501,401,322,0,,,,,,,
2014-11-21,565,,393,,0,983,653,492,400,321,0,,,,,,,
2014-11-22,565,,393,,0,964,624,488,395,319,0,,,,,,,
2014-11-23,565,,393,,0,961,631,498,405,329,0,,,,,,,
2014-11-24,565,,393,,0,963,629,501,406,331,0,,,,,,,
2014-11-25,565,,393,,0,960,635,513,410,316,0,,,,,,,
2014-11-26,565,,393,,0,928,629,514,413,319,0,,,,,,,
2014-11-27,565,,393,,0,913,612,486,411,315,0,,,,,,,
2014-11-28,565,,393,,0,914,600,485,410,314,0,,,,,,,
2014-11-29,565,,393,,0,923,586,484,409,313,0,,,,,,,
2014-11-30,565,,393,,0,900,579,478,406,311,0,,,,,,,
2014-12-01,565,,393,,0,853,576,473,404,310,0,,,,,,,
2014-12-02,565,,393,,0,837,573,471,402,313,0,,,,,,,
2014-12-03,565,,393,,0,838,576,470,402,316,0,,,,,,,
2014-12-04,565,,393,,0,835,583,472,406,320,0,,,,,,,
2014-12-05,565,,393,,0,838,584,473,407,320,0,,,,,,,
2014-12-06,565,,393,,0,824,574,472,405,307,0,,,,,,,
2014-12-07,565,,393,,0,820,568,465,405,306,0,,,,,,,
2014-12-08,565,,393,,0,816,545,466,404,305,0,,,,,,,
2014-12-09,565,,393,,0,807,534,462,401,305,0,,,,,,,
2014-12-10,565,,393,,0,800,533,457,398,304,0,,,,,,,
2014-12-11,565,,393,,0,796,515,456,387,305,0,,,,,,,
2014-12-12,565,,393,,0,796,509,454,386,307,0,,,,,,,
2014-12-13,565,,393,,0,794,509,441,386,307,0,,,,,,,
2014-12-14,565,,393,,0,794,520,445,399,317,0,,,,,,,
2014-12-15,565,,393,,0,804,535,455,413,328,0,,,,,,,
2014-12-16,565,,393,,0,795,536,446,416,329,0,,,,,,,
2014-12-17,565,,393,,0,788,534,443,411,328,0,,,,,,,
2014-12-18,565,,393,,0,798,543,450,413,318,0,,,,,,,
2014-12-19,565,,393,,0,799,542,452,394,315,0,,,,,,,
2014-12-20,565,,393,,0,802,546,453,395,317,0,,,,,,,
2014-12-21,565,,393,,0,802,543,448,396,318,0,,,,,,,
2014-12-22,565,,393,,0,818,557,460,409,327,0,,,,,,,
2014-12-23,565,,393,,0,836,556,471,424,341,0,,,,,,,
2014-12-24,565,,393,,,,,,,,,,,,,,,
2014-12-25,565,,393,,,,,,,,,,,,,,,
2014-12-26,565,,393,,,,,,,,,,,,,,,
2014-12-27,565,,393,,,,,,,,,,,,,,,
2014-12-28,565,,393,,0,840,564,490,433,335,0,,,,,,,
2014-12-29,565,,393,,0,840,567,489,433,336,0,,,,,,,
2014-12-30,565,,393,,0,836,563,482,422,332,0,,,,,,,
2014-12-31,565,,393,,0,844,566,480,420,336,0,,,,,,,
2015-01-01,565,,393,,0,880,586,506,446,358,0,,,,,,,
2015-01-02,565,,393,,0,881,581,505,436,357,0,,,,,,,
2015-01-03,565,,393,,0,876,570,502,417,355,0,,,,,,,
2015-01-04,565,,393,,0,883,570,498,416,347,0,,,,,,,
2015-01-05,565,,393,,0,870,569,498,411,346,0,,,,,,,
2015-01-06,565,,393,,0,844,549,496,410,342,0,,,,,,,
2015-01-07,565,,393,,0,832,544,490,404,330,0,,,,,,,
2015-01-08,565,,393,,0,816,538,490,403,329,0,,,,,,,
2015-01-09,565,,393,,0,798,528,489,401,323,0,,,,,,,
2015-01-10,565,,393,,0,791,518,486,400,320,0,,,,,,,
2015-01-11,565,,393,,0,766,516,481,401,321,0,,,,,,,
2015-01-12,565,,393,,0,747,516,478,403,321,0,,,,,,,
2015-01-13,565,,393,,0,769,531,486,416,333,0,,,,,,,
2015-01-14,565,,393,,0,783,548,488,428,343,0,,,,,,,
2015-01-15,565,,393,,0,756,545,479,427,340,0,,,,,,,
2015-01-16,565,,393,,0,751,537,469,424,336,0,,,,,,,
2015-01-17,565,,393,,0,733,541,467,427,324,0,,,,,,,
2015-01-18,565,,393,,0,708,538,454,425,302,0,,,,,,,
2015-01-19,565,,393,,0,682,529,453,422,299,0,,,,,,,
2015-01-20,565,,393,,0,666,513,451,421,297,0,,,,,,,
2015-01-21,565,,393,,0,665,507,449,420,294,0,,,,,,,
2015-01-22,565,,393,,0,664,506,442,416,291,0,,,,,,,
2015-01-23,565,,393,,0,663,507,443,392,287,0,,,,,,,
2015-01-24,565,,393,,0,666,507,442,390,285,0,,,,,,,
2015-01-25,565,,393,,0,657,501,436,383,281,0,,,,,,,
2015-01-26,565,,393,,0,654,483,435,377,279,0,,,,,,,
2015-01-27,565,,393,,0,646,480,431,375,274,0,,,,,,,
2015-01-28,565,,393,,0,634,481,423,376,274,0,,,,,,,
2015-01-29,565,,393,,0,622,473,419,367,272,0,,,,,,,
2015-01-30,565,,393,,0,623,475,424,366,276,0,,,,,,,
2015-01-31,565,,393,,0,627,476,425,366,280,0,,,,,,,
2015-02-01,565,,393,,0,607,473,420,357,278,0,,,,,,,
2015-02-02,565,,393,,0,602,473,416,353,276,0,,,,,,,
2015-02-03,565,,393,,0,594,467,406,342,258,0,,,,,,,
2015-02-04,565,,393,,0,582,462,408,339,251,0,,,,,,,
2015-02-05,565,,393,,0,579,458,403,335,248,0,,,,,,,
2015-02-06,565,,393,,0,579,458,402,334,247,0,,,,,,,
2015-02-07,565,,393,,,,,,,,,,,,,,,
2015-02-08,565,,393,,,,,,,,,,,,,,,
2015-02-09,565,,393,,0,561,445,382,317,241,0,,,,,,,
2015-02-10,565,,393,,0,559,442,370,313,239,0,,,,,,,
2015-02-11,565,,393,,0,573,443,372,315,241,0,,,,,,,
2015-02-12,565,,393,,0,570,444,367,312,240,0,,,,,,,
2015-02-13,565,,393,,0,553,436,359,308,240,0,,,,,,,
2015-02-14,565,,393,,0,537,425,356,306,238,0,,,,,,,
2015-02-15,565,,393,,0,542,421,357,308,231,0,,,,,,,
