year,vol
1951,105.2
1952,998.7
1953,209.3
1954,124.5
1955,259.4
1956,211.3
1957,919.6
1958,892.3
1959,96.7
1960,391.7
1961,270.1
1962,437.6
1963,134.2
1964,224.3
1965,678.9
1966,321.1
1967,138.7
1968,407.0
1969,494.5
1970,397.1
1971,318.3
1972,120.9
1973,1170.0
1974,258.8
1975,812.7
1976,303.6
1977,42.8
1978,675.6
1979,1002.1
1980,952.9
1981,136.5
1982,515.2
1983,1252.7
1984,1196.7
1985,1100.1
1986,834.7
1987,936.2
1988,346.6
1989,280.4
1990,187.7
1991,401.1
1992,580.0
1993,1266.5
1994,415.9
1995,883.8
1996,254.4
1997,848.8
1998,607.8
1999,512.3
2000,352.6
2001,354.2
2002,66.0
2003,252.1
2004,322.7
2005,803.5
2006,250.4
2007,360.8
2008,667.1
2009,443.5
2010,460.9
2011,528.0
2012,181.1
2013,146.3
2014,322.3
2015,393.3
2016,448.5
2017,511.3
