Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP 10,ESP 50,ESP 90,ESP 10 (wo Obs),ESP 50 (wo Obs),ESP 90 (wo Obs)
2013-10-01,295,,173,,,,,,,
2013-10-02,295,,173,,,,,,,
2013-10-03,295,,173,,,,,,,
2013-10-04,295,,173,,,,,,,
2013-10-05,295,,173,,,,,,,
2013-10-06,295,,173,,,,,,,
2013-10-07,295,,173,,,,,,,
2013-10-08,295,,173,,,,,,,
2013-10-09,295,,173,,,,,,,
2013-10-10,295,,173,,,,,,,
2013-10-11,295,,173,,,,,,,
2013-10-12,295,,173,,,,,,,
2013-10-13,295,,173,,,,,,,
2013-10-14,295,,173,,,,,,,
2013-10-15,295,,173,,,,,,,
2013-10-16,295,,173,,,,,,,
2013-10-17,295,,173,,,,,,,
2013-10-18,295,,173,,,,,,,
2013-10-19,295,,173,,,,,,,
2013-10-20,295,,173,,,,,,,
2013-10-21,295,,173,,,,,,,
2013-10-22,295,,173,,,,,,,
2013-10-23,295,,173,,,,,,,
2013-10-24,295,,173,,,,,,,
2013-10-25,295,,173,,,,,,,
2013-10-26,295,,173,,,,,,,
2013-10-27,295,,173,,,,,,,
2013-10-28,295,,173,,,,,,,
2013-10-29,295,,173,,,,,,,
2013-10-30,295,,173,,,,,,,
2013-10-31,295,,173,,,,,,,
2013-11-01,295,,173,,551,303,201,,,
2013-11-02,295,,173,,550,301,201,,,
2013-11-03,295,,173,,533,295,200,,,
2013-11-04,295,,173,,522,295,198,,,
2013-11-05,295,,173,,528,301,206,,,
2013-11-06,295,,173,,513,293,203,,,
2013-11-07,295,,173,,514,291,203,,,
2013-11-08,295,,173,,518,291,202,,,
2013-11-09,295,,173,,510,289,191,,,
2013-11-10,295,,173,,509,286,191,,,
2013-11-11,295,,173,,501,287,191,,,
2013-11-12,295,,173,,496,282,192,,,
2013-11-13,295,,173,,493,282,187,,,
2013-11-14,295,,173,,492,282,184,,,
2013-11-15,295,,173,,489,276,180,,,
2013-11-16,295,,173,,507,289,194,,,
2013-11-17,295,,173,,507,287,194,,,
2013-11-18,295,,173,,516,295,202,,,
2013-11-19,295,,173,,519,293,203,,,
2013-11-20,295,,173,,513,293,203,,,
2013-11-21,295,,173,,517,301,211,,,
2013-11-22,295,,173,,533,314,220,,,
2013-11-23,295,,173,,541,324,225,,,
2013-11-24,295,,173,,,,,,,
2013-11-25,295,,173,,550,334,222,,,
2013-11-26,295,,173,,549,329,219,,,
2013-11-27,295,,173,,549,325,220,,,
2013-11-28,295,,173,,546,323,220,,,
2013-11-29,295,,173,,,,,,,
2013-11-30,295,,173,,510,323,220,,,
2013-12-01,295,,173,,507,322,219,,,
2013-12-02,295,,173,,498,321,219,,,
2013-12-03,295,,173,,486,321,219,,,
2013-12-04,295,,173,,503,342,238,,,
2013-12-05,295,,173,,544,376,270,,,
2013-12-06,295,,173,,523,354,252,,,
2013-12-07,295,,173,,519,347,249,,,
2013-12-08,295,,173,,538,362,267,,,
2013-12-09,295,,173,,,,,,,
2013-12-10,295,,173,,553,368,288,,,
2013-12-11,295,,173,,547,366,287,,,
2013-12-12,295,,173,,539,356,280,,,
2013-12-13,295,,173,,534,346,273,,,
2013-12-14,295,,173,,,,,,,
2013-12-15,295,,173,,538,351,279,,,
2013-12-16,295,,173,,533,346,275,,,
2013-12-17,295,,173,,533,346,274,,,
2013-12-18,295,,173,,529,343,265,,,
2013-12-19,295,,173,,506,323,248,,,
2013-12-20,295,,173,,506,322,247,,,
2013-12-21,295,,173,,511,327,252,,,
2013-12-22,295,,173,,502,318,242,,,
2013-12-23,295,,173,,,,,,,
2013-12-24,295,,173,,,,,,,
2013-12-25,295,,173,,,,,,,
2013-12-26,295,,173,,510,348,252,,,
2013-12-27,295,,173,,510,348,240,,,
2013-12-28,295,,173,,,,,,,
2013-12-29,295,,173,,,,,,,
2013-12-30,295,,173,,485,322,218,,,
2013-12-31,295,,173,,482,315,220,,,
2014-01-01,295,,173,,482,316,218,,,
2014-01-02,295,,173,,481,316,218,,,
2014-01-03,295,,173,,480,314,217,,,
2014-01-04,295,,173,,481,315,216,,,
2014-01-05,295,,173,,481,313,216,,,
2014-01-06,295,,173,,479,311,215,,,
2014-01-07,295,,173,,477,307,213,,,
2014-01-08,295,,173,,451,298,210,,,
2014-01-09,295,,173,,437,288,208,,,
2014-01-10,295,,173,,438,287,213,,,
2014-01-11,295,,173,,431,287,214,,,
2014-01-12,295,,173,,428,288,216,,,
2014-01-13,295,,173,,427,286,215,,,
2014-01-14,295,,173,,,,,,,
2014-01-15,295,,173,,,,,,,
2014-01-16,295,,173,,410,276,208,,,
2014-01-17,295,,173,,402,274,198,,,
2014-01-18,295,,173,,395,271,185,,,
