Date,Average,Observed Accumulation,Observed Total,Normal Accumulation,ESP max,ESP 10,ESP 30,ESP 50,ESP 70,ESP 90,ESP min,ESP max (wo Obs),ESP 10 (wo Obs),ESP 30 (wo Obs),ESP 50 (wo Obs),ESP 70 (wo Obs),ESP 90 (wo Obs),ESP min (wo Obs)
2015-10-01,295,,241,,,,,,,,,,,,,,,
2015-10-02,295,,241,,,,,,,,,,,,,,,
2015-10-03,295,,241,,,,,,,,,,,,,,,
2015-10-04,295,,241,,,,,,,,,,,,,,,
2015-10-05,295,,241,,,,,,,,,,,,,,,
2015-10-06,295,,241,,,,,,,,,,,,,,,
2015-10-07,295,,241,,,,,,,,,,,,,,,
2015-10-08,295,,241,,,,,,,,,,,,,,,
2015-10-09,295,,241,,,,,,,,,,,,,,,
2015-10-10,295,,241,,,,,,,,,,,,,,,
2015-10-11,295,,241,,,,,,,,,,,,,,,
2015-10-12,295,,241,,,,,,,,,,,,,,,
2015-10-13,295,,241,,,,,,,,,,,,,,,
2015-10-14,295,,241,,,,,,,,,,,,,,,
2015-10-15,295,,241,,,,,,,,,,,,,,,
2015-10-16,295,,241,,,,,,,,,,,,,,,
2015-10-17,295,,241,,,,,,,,,,,,,,,
2015-10-18,295,,241,,,,,,,,,,,,,,,
2015-10-19,295,,241,,,,,,,,,,,,,,,
2015-10-20,295,,241,,,,,,,,,,,,,,,
2015-10-21,295,,241,,,,,,,,,,,,,,,
2015-10-22,295,,241,,,,,,,,,,,,,,,
2015-10-23,295,,241,,,,,,,,,,,,,,,
2015-10-24,295,,241,,,,,,,,,,,,,,,
2015-10-25,295,,241,,,,,,,,,,,,,,,
2015-10-26,295,,241,,,,,,,,,,,,,,,
2015-10-27,295,,241,,,,,,,,,,,,,,,
2015-10-28,295,,241,,,,,,,,,,,,,,,
2015-10-29,295,,241,,,,,,,,,,,,,,,
2015-10-30,295,,241,,,,,,,,,,,,,,,
2015-10-31,295,,241,,,,,,,,,,,,,,,
2015-11-01,295,,241,,,,,,,,,,,,,,,
2015-11-02,295,,241,,,,,,,,,,,,,,,
2015-11-03,295,,241,,,,,,,,,,,,,,,
2015-11-04,295,,241,,,,,,,,,,,,,,,
2015-11-05,295,,241,,,,,,,,,,,,,,,
2015-11-06,295,,241,,,,,,,,,,,,,,,
2015-11-07,295,,241,,,,,,,,,,,,,,,
2015-11-08,295,,241,,,,,,,,,,,,,,,
2015-11-09,295,,241,,,,,,,,,,,,,,,
2015-11-10,295,,241,,,,,,,,,,,,,,,
2015-11-11,295,,241,,,,,,,,,,,,,,,
2015-11-12,295,,241,,,,,,,,,,,,,,,
2015-11-13,295,,241,,,,,,,,,,,,,,,
2015-11-14,295,,241,,,,,,,,,,,,,,,
2015-11-15,295,,241,,524,463,354,252,197,156,108,,,,,,,
2015-11-16,295,,241,,538,473,366,253,201,161,110,,,,,,,
2015-11-17,295,,241,,576,505,398,276,222,184,128,,,,,,,
2015-11-18,295,,241,,567,503,390,277,225,186,131,,,,,,,
2015-11-19,295,,241,,534,506,383,279,222,188,133,,,,,,,
2015-11-20,295,,241,,533,504,385,283,224,189,135,,,,,,,
2015-11-21,295,,241,,510,499,380,280,223,190,136,,,,,,,
2015-11-22,295,,241,,503,493,363,279,222,189,134,,,,,,,
2015-11-23,295,,241,,495,489,355,277,221,187,113,,,,,,,
2015-11-24,295,,241,,499,484,358,277,220,182,103,,,,,,,
2015-11-25,295,,241,,495,478,354,276,221,169,102,,,,,,,
2015-11-26,295,,241,,503,482,345,273,223,170,91,,,,,,,
2015-11-27,295,,241,,504,483,343,267,222,169,90.9,,,,,,,
2015-11-28,295,,241,,503,485,343,268,222,171,91.5,,,,,,,
2015-11-29,295,,241,,494,482,328,267,221,170,89.5,,,,,,,
2015-11-30,295,,241,,496,457,313,269,220,172,84.1,,,,,,,
2015-12-01,295,,241,,497,446,310,267,221,171,84.2,,,,,,,
2015-12-02,295,,241,,496,443,309,266,220,172,81.7,,,,,,,
2015-12-03,295,,241,,504,434,316,274,224,178,81.3,,,,,,,
2015-12-04,295,,241,,504,427,315,273,223,176,80.9,,,,,,,
2015-12-05,295,,241,,500,427,312,272,223,176,77.9,,,,,,,
2015-12-06,295,,241,,494,429,311,274,226,172,79,,,,,,,
2015-12-07,295,,241,,496,431,313,270,226,174,80.4,,,,,,,
2015-12-08,295,,241,,494,429,308,266,224,174,79.5,,,,,,,
2015-12-09,295,,241,,493,425,307,254,221,173,78,,,,,,,
2015-12-10,295,,241,,493,423,307,253,221,173,77.3,,,,,,,
2015-12-11,295,,241,,493,423,299,253,218,173,75.3,,,,,,,
2015-12-12,295,,241,,503,434,304,262,225,180,79.4,,,,,,,
2015-12-13,295,,241,,491,437,307,266,228,184,81.8,,,,,,,
2015-12-14,295,,241,,485,425,301,257,222,179,77.7,,,,,,,
2015-12-15,295,,241,,507,449,322,272,241,196,87,,,,,,,
2015-12-16,295,,241,,497,441,314,256,234,188,81.2,,,,,,,
2015-12-17,295,,241,,499,443,316,256,238,191,82.3,,,,,,,
2015-12-18,295,,241,,497,444,317,256,237,182,82.6,,,,,,,
2015-12-19,295,,241,,490,444,313,256,225,183,82.8,,,,,,,
2015-12-20,295,,241,,493,445,315,258,226,184,84.2,,,,,,,
2015-12-21,295,,241,,498,450,319,261,229,187,86,,,,,,,
2015-12-22,295,,241,,519,469,338,277,244,204,99.4,,,,,,,
2015-12-23,295,,241,,570,502,377,317,277,241,128,,,,,,,
2015-12-24,295,,241,,577,500,385,322,283,238,132,,,,,,,
2015-12-25,295,,241,,591,513,401,332,293,249,140,,,,,,,
2015-12-26,295,,241,,613,538,419,350,310,264,152,,,,,,,
2015-12-27,295,,241,,611,535,417,348,309,250,150,,,,,,,
2015-12-28,295,,241,,601,532,412,347,306,245,149,,,,,,,
2015-12-29,295,,241,,574,533,408,347,307,246,150,,,,,,,
2015-12-30,295,,241,,572,534,408,347,307,246,146,,,,,,,
2015-12-31,295,,241,,585,542,417,350,316,256,154,,,,,,,
2016-01-01,295,,241,,584,541,416,350,316,256,154,,,,,,,
2016-01-02,295,,241,,584,540,404,350,315,254,154,,,,,,,
2016-01-03,295,,241,,585,540,399,349,297,252,154,,,,,,,
2016-01-04,295,,241,,585,539,395,348,293,250,152,,,,,,,
2016-01-05,295,,241,,587,542,399,346,298,251,156,,,,,,,
2016-01-06,295,,241,,572,543,388,346,299,250,155,,,,,,,
2016-01-07,295,,241,,573,551,394,357,301,255,160,,,,,,,
2016-01-08,295,,241,,587,537,407,374,310,265,164,,,,,,,
2016-01-09,295,,241,,595,529,411,376,315,268,168,,,,,,,
2016-01-10,295,,241,,589,524,402,367,313,264,167,,,,,,,
2016-01-11,295,,241,,589,514,401,364,314,263,167,,,,,,,
2016-01-12,295,,241,,590,508,401,356,315,263,167,,,,,,,
2016-01-13,295,,241,,589,505,394,352,314,261,165,,,,,,,
2016-01-14,295,,241,,588,497,386,351,314,259,165,,,,,,,
2016-01-15,295,,241,,588,492,381,346,313,258,162,,,,,,,
2016-01-16,295,,241,,591,490,380,344,316,256,162,,,,,,,
2016-01-17,295,,241,,593,484,381,343,318,249,163,,,,,,,
2016-01-18,295,,241,,586,478,382,338,320,237,164,,,,,,,
2016-01-19,295,,241,,586,470,380,342,324,239,167,,,,,,,
2016-01-20,295,,241,,597,477,386,351,333,248,168,,,,,,,
2016-01-21,295,,241,,594,481,388,355,335,249,170,,,,,,,
2016-01-22,295,,241,,591,485,388,353,326,250,170,,,,,,,
2016-01-23,295,,241,,589,483,382,349,312,243,169,,,,,,,
2016-01-24,295,,241,,589,483,380,345,313,241,169,,,,,,,
2016-01-25,295,,241,,592,493,389,354,321,249,176,,,,,,,
2016-01-26,295,,241,,579,493,387,354,320,248,175,,,,,,,
2016-01-27,295,,241,,579,493,386,353,315,245,174,,,,,,,
2016-01-28,295,,241,,575,491,384,348,315,244,174,,,,,,,
2016-01-29,295,,241,,567,488,382,347,311,244,174,,,,,,,
2016-01-30,295,,241,,564,487,382,347,310,242,173,,,,,,,
2016-01-31,295,,241,,574,501,395,357,316,257,186,,,,,,,
2016-02-01,295,,241,,608,532,425,386,337,287,208,,,,,,,
2016-02-02,295,,241,,640,562,452,414,364,317,233,,,,,,,
