,Date,p10,p50,p90,Obs
0,2013-11-01,551,303,201,
1,2013-11-02,550,301,201,
2,2013-11-03,533,295,200,
3,2013-11-04,522,295,198,
4,2013-11-05,528,301,206,
5,2013-11-06,513,293,203,
6,2013-11-07,514,291,203,
7,2013-11-08,518,291,202,
8,2013-11-09,510,289,191,
9,2013-11-10,509,286,191,
10,2013-11-11,501,287,191,
11,2013-11-12,496,282,192,
12,2013-11-13,493,282,187,
13,2013-11-14,492,282,184,
14,2013-11-15,489,276,180,
15,2013-11-16,507,289,194,
16,2013-11-17,507,287,194,
17,2013-11-18,516,295,202,
18,2013-11-19,519,293,203,
19,2013-11-20,513,293,203,
20,2013-11-21,517,301,211,
21,2013-11-22,533,314,220,
22,2013-11-23,541,324,225,
23,2013-11-25,550,334,222,
24,2013-11-26,549,329,219,
25,2013-11-27,549,325,220,
26,2013-11-28,546,323,220,
27,2013-11-30,510,323,220,
28,2013-12-01,507,322,219,
29,2013-12-02,498,321,219,
30,2013-12-03,486,321,219,
31,2013-12-04,503,342,238,
32,2013-12-05,544,376,270,
33,2013-12-06,523,354,252,
34,2013-12-07,519,347,249,
35,2013-12-08,538,362,267,
36,2013-12-10,553,368,288,
37,2013-12-11,547,366,287,
38,2013-12-12,539,356,280,
39,2013-12-13,534,346,273,
40,2013-12-15,538,351,279,
41,2013-12-16,533,346,275,
42,2013-12-17,533,346,274,
43,2013-12-18,529,343,265,
44,2013-12-19,506,323,248,
45,2013-12-20,506,322,247,
46,2013-12-21,511,327,252,
47,2013-12-22,502,318,242,
48,2013-12-26,510,348,252,
49,2013-12-27,510,348,240,
50,2013-12-30,485,322,218,
51,2013-12-31,482,315,220,
52,2014-01-01,482,316,218,
53,2014-01-02,481,316,218,
54,2014-01-03,480,314,217,
55,2014-01-04,481,315,216,
56,2014-01-05,481,313,216,
57,2014-01-06,479,311,215,
58,2014-01-07,477,307,213,
59,2014-01-08,451,298,210,
60,2014-01-09,437,288,208,
61,2014-01-10,438,287,213,
62,2014-01-11,431,287,214,
63,2014-01-12,428,288,216,
64,2014-01-13,427,286,215,
65,2014-01-16,410,276,208,
66,2014-01-17,402,274,198,
67,2014-01-18,395,271,185,
68,2014-01-19,373,271,185,
69,2014-01-20,364,266,184,
70,2014-01-21,363,266,182,
71,2014-01-22,364,266,181,
72,2014-01-24,362,265,173,
73,2014-01-25,362,265,172,
74,2014-01-26,361,265,173,
75,2014-01-27,360,263,170,
76,2014-01-28,359,262,169,
77,2014-01-29,361,262,170,
78,2014-01-30,369,269,177,
79,2014-01-31,387,280,193,
80,2014-02-01,402,287,205,
81,2014-02-02,412,291,213,
82,2014-02-03,405,285,198,
83,2014-02-04,403,291,202,
84,2014-02-05,404,291,202,
85,2014-02-07,395,289,197,
86,2014-02-08,401,296,203,
87,2014-02-09,414,300,208,
88,2014-02-10,415,296,208,
89,2014-02-11,419,290,209,
90,2014-02-12,430,288,210,
91,2014-02-13,431,294,216,
92,2014-02-14,420,294,215,
93,2014-02-15,429,297,204,
94,2014-02-16,427,295,202,
95,2014-02-17,428,291,200,
96,2014-02-18,410,281,197,
97,2014-02-19,393,281,197,
98,2014-02-20,380,280,198,
99,2014-02-22,380,283,197,
100,2014-02-23,372,282,190,
101,2014-02-24,370,279,181,
102,2014-02-25,376,268,179,
103,2014-02-26,374,264,172,
104,2014-02-27,374,260,171,
105,2014-02-28,395,277,189,
106,2014-03-01,403,281,193,
107,2014-03-02,417,293,206,
108,2014-03-03,413,294,208,
109,2014-03-04,417,297,212,
110,2014-03-05,407,300,212,
111,2014-03-06,409,298,210,
112,2014-03-10,407,296,200,
113,2014-03-11,397,293,203,
114,2014-03-12,384,288,202,
115,2014-03-13,382,285,202,
116,2014-03-14,381,282,201,
117,2014-03-15,369,282,202,
118,2014-03-16,364,284,205,
119,2014-03-17,367,283,206,
120,2014-03-18,369,286,209,
121,2014-03-19,363,283,206,
122,2014-03-20,353,283,206,
123,2014-03-21,352,283,207,
124,2014-03-22,350,278,207,
125,2014-03-23,347,276,207,
126,2014-03-24,341,271,206,
127,2014-03-25,339,270,206,
128,2014-03-26,337,270,207,
129,2014-03-27,353,281,221,
130,2014-03-28,356,286,229,
131,2014-03-30,343,276,228,
132,2014-04-01,333,268,217,
133,2014-04-02,330,264,211,0.34
134,2014-04-03,328,268,214,0.75
135,2014-04-04,331,270,217,1.33
136,2014-04-05,329,262,215,1.93
137,2014-04-06,326,255,211,2.21
138,2014-04-07,332,257,214,2.62
139,2014-04-08,331,254,214,2.96
140,2014-04-09,329,254,214,3.3
141,2014-04-10,327,253,214,3.71
142,2014-04-12,316,246,205,5.53
143,2014-04-13,314,243,203,6.59
144,2014-04-14,321,249,208,8.26
145,2014-04-15,322,251,209,10.3
146,2014-04-16,321,251,206,11.3
147,2014-04-17,317,250,204,12.1
148,2014-04-18,314,249,204,13.1
149,2014-04-20,295,252,205,15.4
150,2014-04-21,286,245,198,17.4
151,2014-04-22,279,241,194,19.5
152,2014-04-23,279,243,195,22.2
153,2014-04-24,277,232,191,25.4
154,2014-04-25,272,231,189,28.5
155,2014-04-26,269,228,192,31
156,2014-04-27,283,249,211,33.4
157,2014-04-29,285,247,212,38.7
158,2014-04-30,283,243,209,40.4
159,2014-05-01,280,234,206,42.9
160,2014-05-02,279,233,209,44.2
161,2014-05-07,219,193,175,52.3
162,2014-05-08,217,191,176,55.5
163,2014-05-10,217,194,179,61
164,2014-05-11,219,195,181,63.1
165,2014-05-12,231,205,190,64.8
166,2014-05-13,238,207,193,66.7
167,2014-05-14,237,205,191,68.2
168,2014-05-15,235,204,190,69.6
169,2014-05-16,228,202,187,70.9
170,2014-05-17,224,200,186,72.1
171,2014-05-18,219,199,185,73.5
172,2014-05-19,217,197,184,75.4
173,2014-05-20,215,196,185,77.6
174,2014-05-21,214,195,185,80.4
175,2014-05-22,212,195,185,83.8
176,2014-05-24,202,185,175,90.4
177,2014-05-25,209,193,182,93.4
178,2014-05-26,211,192,184,96.3
179,2014-05-27,209,191,183,99.4
180,2014-05-28,207,190,183,102
181,2014-05-30,203,191,183,109
182,2014-06-02,203,194,187,124
183,2014-06-03,203,193,187,128
184,2014-06-04,200,192,186,132
185,2014-06-05,199,191,186,135
186,2014-06-06,198,190,185,138
187,2014-06-07,197,190,185,141
188,2014-06-08,196,188,184,144
189,2014-06-09,194,186,182,146
190,2014-06-10,192,185,181,148
191,2014-06-11,193,185,182,150
192,2014-06-12,192,183,181,152
193,2014-06-13,190,183,180,153
194,2014-06-14,188,182,180,155
195,2014-06-15,187,182,179,156
196,2014-06-16,186,182,179,157
197,2014-06-17,186,181,178,159
198,2014-06-18,184,180,177,160
199,2014-06-19,184,179,177,160
200,2014-06-20,183,179,177,161
201,2014-06-21,183,179,177,162
202,2014-06-22,183,178,177,163
203,2014-06-23,183,178,176,163
204,2014-06-24,183,178,176,164
205,2014-06-25,183,178,176,164
206,2014-06-26,183,178,176,165
207,2014-06-27,183,178,176,165
208,2014-06-29,182,177,176,166
209,2014-07-01,178,173,172,163
210,2014-07-02,178,173,172,164
211,2014-07-07,177,173,171,166
