,Date,max,p10,p30,p50,p70,p90,min,Obs
0,2014-11-15,0,483,373,271,217,174,0,
1,2014-11-16,0,496,387,277,226,184,0,
2,2014-11-17,0,498,390,275,226,185,0,
3,2014-11-18,0,499,385,277,227,186,0,
4,2014-11-19,0,498,374,275,220,185,0,
5,2014-11-20,0,489,368,274,219,183,0,
6,2014-11-21,0,485,361,271,218,183,0,
7,2014-11-22,0,478,344,268,216,182,0,
8,2014-11-23,0,483,347,274,222,187,0,
9,2014-11-24,0,476,345,274,222,184,0,
10,2014-11-25,0,476,350,280,226,175,0,
11,2014-11-26,0,476,336,275,226,175,0,
12,2014-11-27,0,467,330,267,224,174,0,
13,2014-11-28,0,468,330,267,223,173,0,
14,2014-11-29,0,470,323,267,223,173,0,
15,2014-11-30,0,442,309,267,220,173,0,
16,2014-12-01,0,435,305,265,220,171,0,
17,2014-12-02,0,430,304,264,219,172,0,
18,2014-12-03,0,421,306,265,218,174,0,
19,2014-12-04,0,415,309,268,221,176,0,
20,2014-12-05,0,418,308,269,222,176,0,
21,2014-12-06,0,418,305,268,221,172,0,
22,2014-12-07,0,417,305,262,219,172,0,
23,2014-12-08,0,414,303,259,218,172,0,
24,2014-12-09,0,412,299,248,217,172,0,
25,2014-12-10,0,409,298,247,216,171,0,
26,2014-12-11,0,410,290,247,214,171,0,
27,2014-12-12,0,409,285,247,213,171,0,
28,2014-12-13,0,408,285,248,212,170,0,
29,2014-12-14,0,410,291,250,216,176,0,
30,2014-12-15,0,419,300,253,224,180,0,
31,2014-12-16,0,415,299,246,222,182,0,
32,2014-12-17,0,413,299,245,222,181,0,
33,2014-12-18,0,422,303,250,227,177,0,
34,2014-12-19,0,425,302,250,218,177,0,
35,2014-12-20,0,425,303,251,217,178,0,
36,2014-12-21,0,424,301,251,219,178,0,
37,2014-12-22,0,431,308,255,223,185,0,
38,2014-12-23,0,420,310,263,226,193,0,
39,2014-12-28,0,424,318,275,237,185,0,
40,2014-12-29,0,425,317,272,237,185,0,
41,2014-12-30,0,420,312,267,231,181,0,
42,2014-12-31,0,422,312,266,228,184,0,
43,2015-01-01,0,436,326,282,242,190,0,
44,2015-01-02,0,441,321,284,246,192,0,
45,2015-01-03,0,442,314,284,229,190,0,
46,2015-01-04,0,441,314,281,230,189,0,
47,2015-01-05,0,437,312,277,230,189,0,
48,2015-01-06,0,439,305,278,233,190,0,
49,2015-01-07,0,436,303,269,228,189,0,
50,2015-01-08,0,416,302,267,227,189,0,
51,2015-01-09,0,406,291,258,227,185,0,
52,2015-01-10,0,404,288,254,227,182,0,
53,2015-01-11,0,395,286,252,227,183,0,
54,2015-01-12,0,391,288,251,229,182,0,
55,2015-01-13,0,395,293,256,235,188,0,
56,2015-01-14,0,403,302,264,243,196,0,
57,2015-01-15,0,395,297,262,242,195,0,
58,2015-01-16,0,392,294,257,242,191,0,
59,2015-01-17,0,386,290,256,241,183,0,
60,2015-01-18,0,378,289,253,235,170,0,
61,2015-01-19,0,355,286,252,232,169,0,
